,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
0,bKlxiqtFphxIBm7jv87Aqg,dennys-roseville-3,Denny's,https://s3-media1.fl.yelpcdn.com/bphoto/wTlz_HRcNkBA6OIouF5i_g/o.jpg,False,https://www.yelp.com/biz/dennys-roseville-3?adjust_creative=CyvIgILFEASkL3Pds3hj8w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CyvIgILFEASkL3Pds3hj8w,189,"[{'alias': 'diners', 'title': 'Diners'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",2.5,"{'latitude': 38.7435110738334, 'longitude': -121.267282962799}","['pickup', 'delivery']",$$,"{'address1': '122 Sunrise Ave', 'address2': '', 'address3': '', 'city': 'Roseville', 'zip_code': '95661', 'country': 'US', 'state': 'CA', 'display_address': ['122 Sunrise Ave', 'Roseville, CA 95661']}",+19167838212,(916) 783-8212,9467.875066636421
1,tU0ioz8HWVeF8VhcOVFLzg,raleys-fair-oaks-4,Raley's,https://s3-media4.fl.yelpcdn.com/bphoto/ehqah5Ek5hwxuhYMIdRWkw/o.jpg,False,https://www.yelp.com/biz/raleys-fair-oaks-4?adjust_creative=CyvIgILFEASkL3Pds3hj8w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CyvIgILFEASkL3Pds3hj8w,72,"[{'alias': 'grocery', 'title': 'Grocery'}, {'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}, {'alias': 'delis', 'title': 'Delis'}]",3.0,"{'latitude': 38.6534013126208, 'longitude': -121.291927457691}",[],$$,"{'address1': '4840 San Juan Ave', 'address2': '', 'address3': '', 'city': 'Fair Oaks', 'zip_code': '95628', 'country': 'US', 'state': 'CA', 'display_address': ['4840 San Juan Ave', 'Fair Oaks, CA 95628']}",+19169674718,(916) 967-4718,9553.948633045382
2,IwHfywddYw0Vjf7SR2t_hA,what-a-pizza-carmichael,What a Pizza,https://s3-media3.fl.yelpcdn.com/bphoto/s51w87xxkd550zZFJ_sHbQ/o.jpg,False,https://www.yelp.com/biz/what-a-pizza-carmichael?adjust_creative=CyvIgILFEASkL3Pds3hj8w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CyvIgILFEASkL3Pds3hj8w,136,"[{'alias': 'pizza', 'title': 'Pizza'}]",3.0,"{'latitude': 38.63651, 'longitude': -121.32433}","['pickup', 'delivery']",$,"{'address1': '7630 Fair Oaks Blvd', 'address2': '', 'address3': '', 'city': 'Carmichael', 'zip_code': '95608', 'country': 'US', 'state': 'CA', 'display_address': ['7630 Fair Oaks Blvd', 'Carmichael, CA 95608']}",+19169441234,(916) 944-1234,9508.24287572482
3,FdcoLkRXs5la_sSXupbFxg,panda-express-roseville-2,Panda Express,https://s3-media1.fl.yelpcdn.com/bphoto/ncJcyqqDLNun76XdlaYiPw/o.jpg,False,https://www.yelp.com/biz/panda-express-roseville-2?adjust_creative=CyvIgILFEASkL3Pds3hj8w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CyvIgILFEASkL3Pds3hj8w,44,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]",2.0,"{'latitude': 38.730878, 'longitude': -121.273395}","['pickup', 'delivery']",$,"{'address1': '970 Sunrise Ave Space', 'address2': 'Ste 155', 'address3': '', 'city': 'Roseville', 'zip_code': '95661', 'country': 'US', 'state': 'CA', 'display_address': ['970 Sunrise Ave Space', 'Ste 155', 'Roseville, CA 95661']}",+19167801681,(916) 780-1681,8562.486725822417
4,Z7M2LltrGlUj4AIs0F0_gA,popeyes-louisiana-kitchen-sacramento-6,Popeyes Louisiana Kitchen,https://s3-media3.fl.yelpcdn.com/bphoto/skO7HRB0LhXPbVe2si1HEg/o.jpg,False,https://www.yelp.com/biz/popeyes-louisiana-kitchen-sacramento-6?adjust_creative=CyvIgILFEASkL3Pds3hj8w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CyvIgILFEASkL3Pds3hj8w,126,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",2.5,"{'latitude': 38.611449, 'longitude': -121.44593}",[],$,"{'address1': '901 El Camino Ave', 'address2': '', 'address3': '', 'city': 'Sacramento', 'zip_code': '95815', 'country': 'US', 'state': 'CA', 'display_address': ['901 El Camino Ave', 'Sacramento, CA 95815']}",+19165642778,(916) 564-2778,13199.051181272398
5,ry5QWuR3I4kUWPDX5Khz5w,subway-mcclellan,Subway,https://s3-media2.fl.yelpcdn.com/bphoto/GruM_HZwt23r3jZ-g_Hshw/o.jpg,False,https://www.yelp.com/biz/subway-mcclellan?adjust_creative=CyvIgILFEASkL3Pds3hj8w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CyvIgILFEASkL3Pds3hj8w,4,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",2.5,"{'latitude': 38.6664743295977, 'longitude': -121.388314184062}",[],$,"{'address1': '5443 Dudley Blvd', 'address2': 'Ste 911', 'address3': '', 'city': 'McClellan', 'zip_code': '95652', 'country': 'US', 'state': 'CA', 'display_address': ['5443 Dudley Blvd', 'Ste 911', 'McClellan, CA 95652']}",+19166400090,(916) 640-0090,5542.815550819421
6,Iy7bGb0BjCZENn6tJpKHoQ,carls-jr-roseville-5,Carl's Jr,https://s3-media1.fl.yelpcdn.com/bphoto/XHtsoeXlHreIVjrI1iJA1w/o.jpg,False,https://www.yelp.com/biz/carls-jr-roseville-5?adjust_creative=CyvIgILFEASkL3Pds3hj8w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CyvIgILFEASkL3Pds3hj8w,65,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]",2.5,"{'latitude': 38.75275, 'longitude': -121.30988}",['delivery'],$,"{'address1': '4002 Foothills Blvd', 'address2': '', 'address3': '', 'city': 'Roseville', 'zip_code': '95747', 'country': 'US', 'state': 'CA', 'display_address': ['4002 Foothills Blvd', 'Roseville, CA 95747']}",+19167737266,(916) 773-7266,6741.545965392446
7,WLH-JIzTmuvZNE6CQ2qJSQ,round-table-pizza-rocklin-5,Round Table Pizza,https://s3-media2.fl.yelpcdn.com/bphoto/M2D8GYLRPdiRiKlIEFWLMg/o.jpg,False,https://www.yelp.com/biz/round-table-pizza-rocklin-5?adjust_creative=CyvIgILFEASkL3Pds3hj8w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CyvIgILFEASkL3Pds3hj8w,127,"[{'alias': 'pizza', 'title': 'Pizza'}]",3.5,"{'latitude': 38.798299, 'longitude': -121.265506}",[],$$,"{'address1': '2345 Sunset Blvd', 'address2': '', 'address3': '', 'city': 'Rocklin', 'zip_code': '95765', 'country': 'US', 'state': 'CA', 'display_address': ['2345 Sunset Blvd', 'Rocklin, CA 95765']}",+19163159383,(916) 315-9383,13008.092561396572
8,hG_jsf1fIz_QwvP5nYzlbQ,halftime-bar-and-grill-rocklin,Halftime Bar & Grill,https://s3-media1.fl.yelpcdn.com/bphoto/aMKV3UngbO9Yj3703TE-Mw/o.jpg,False,https://www.yelp.com/biz/halftime-bar-and-grill-rocklin?adjust_creative=CyvIgILFEASkL3Pds3hj8w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CyvIgILFEASkL3Pds3hj8w,100,"[{'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",3.0,"{'latitude': 38.8127518, 'longitude': -121.2887268}",['delivery'],$$,"{'address1': '5681 Lonetree Blvd', 'address2': '', 'address3': '', 'city': 'Rocklin', 'zip_code': '95765', 'country': 'US', 'state': 'CA', 'display_address': ['5681 Lonetree Blvd', 'Rocklin, CA 95765']}",+19166263600,(916) 626-3600,13003.941145113868
9,H-bjo2xfAFWBJSOuU3FBmA,el-tigre-del-taco-sacramento,El Tigre Del Taco,,False,https://www.yelp.com/biz/el-tigre-del-taco-sacramento?adjust_creative=CyvIgILFEASkL3Pds3hj8w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CyvIgILFEASkL3Pds3hj8w,3,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'foodstands', 'title': 'Food Stands'}]",3.5,"{'latitude': 38.61114, 'longitude': -121.45733}",[],$,"{'address1': 'El Camino Ave & Traction Avenue', 'address2': '', 'address3': '', 'city': 'Sacramento', 'zip_code': '95815', 'country': 'US', 'state': 'CA', 'display_address': ['El Camino Ave & Traction Avenue', 'Sacramento, CA 95815']}",,,13753.886487725178
