id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
ciEE71EdE7J3Uff-eEgdyQ,mayhew-deli-sacramento,Mayhew Deli,https://s3-media2.fl.yelpcdn.com/bphoto/Rxr52KOXY0srcLDlJvp_Zg/o.jpg,False,https://www.yelp.com/biz/mayhew-deli-sacramento?adjust_creative=Kgca-8cgnb9EhD6PjYK-jA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Kgca-8cgnb9EhD6PjYK-jA,47,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'delis', 'title': 'Delis'}]",4.0,"{'latitude': 38.5638008117676, 'longitude': -121.352111816406}",['delivery'],$,"{'address1': '9333 Tech Center Dr', 'address2': 'Ste 150', 'address3': '', 'city': 'Sacramento', 'zip_code': '95826', 'country': 'US', 'state': 'CA', 'display_address': ['9333 Tech Center Dr', 'Ste 150', 'Sacramento, CA 95826']}",+19163686673,(916) 368-6673,7726.172618082287
R7qZ6TSZQXHk8EqeHwB6PQ,dennys-rancho-cordova-3,Denny's,https://s3-media2.fl.yelpcdn.com/bphoto/DxvGtkUGq5CWJQBcDUx46Q/o.jpg,False,https://www.yelp.com/biz/dennys-rancho-cordova-3?adjust_creative=Kgca-8cgnb9EhD6PjYK-jA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Kgca-8cgnb9EhD6PjYK-jA,147,"[{'alias': 'diners', 'title': 'Diners'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",3.0,"{'latitude': 38.6145242799532, 'longitude': -121.270065754652}","['pickup', 'delivery']",$$,"{'address1': '2474 Sunrise Blvd', 'address2': '', 'address3': '', 'city': 'Rancho Cordova', 'zip_code': '95670', 'country': 'US', 'state': 'CA', 'display_address': ['2474 Sunrise Blvd', 'Rancho Cordova, CA 95670']}",+19166350285,(916) 635-0285,5543.771263728748
mBsERINdQYgUyEFjvcO0gw,larosas-sports-cafe-sacramento,Larosa's Sports Cafe,,False,https://www.yelp.com/biz/larosas-sports-cafe-sacramento?adjust_creative=Kgca-8cgnb9EhD6PjYK-jA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Kgca-8cgnb9EhD6PjYK-jA,1,"[{'alias': 'restaurants', 'title': 'Restaurants'}]",1.0,"{'latitude': 38.6421467, 'longitude': -121.3839894}",[],,"{'address1': '3450 Longview Dr', 'address2': '', 'address3': '', 'city': 'Sacramento', 'zip_code': '95821', 'country': 'US', 'state': 'CA', 'display_address': ['3450 Longview Dr', 'Sacramento, CA 95821']}",+19164889224,(916) 488-9224,4994.5122208157845
pblLdPIWHb8A4uzrehXdAQ,subway-sacramento-150,Subway,https://s3-media1.fl.yelpcdn.com/bphoto/fWXRIINGWuHZVf3hJI7eMw/o.jpg,False,https://www.yelp.com/biz/subway-sacramento-150?adjust_creative=Kgca-8cgnb9EhD6PjYK-jA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Kgca-8cgnb9EhD6PjYK-jA,21,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}]",2.5,"{'latitude': 38.6135310272622, 'longitude': -121.382408798497}","['pickup', 'delivery']",$,"{'address1': '2648 Watt Ave', 'address2': 'Ste 101', 'address3': '', 'city': 'Sacramento', 'zip_code': '95821', 'country': 'US', 'state': 'CA', 'display_address': ['2648 Watt Ave', 'Ste 101', 'Sacramento, CA 95821']}",+19164899477,(916) 489-9477,4932.440200464142
I5S0mccbvQNa2iaOtx6skQ,pizza-guys-sacramento-17,Pizza Guys,https://s3-media4.fl.yelpcdn.com/bphoto/tSUSrfYjOt46RRaufPftlg/o.jpg,False,https://www.yelp.com/biz/pizza-guys-sacramento-17?adjust_creative=Kgca-8cgnb9EhD6PjYK-jA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Kgca-8cgnb9EhD6PjYK-jA,54,"[{'alias': 'pizza', 'title': 'Pizza'}]",3.5,"{'latitude': 38.58936, 'longitude': -121.40104}","['pickup', 'delivery']",$$,"{'address1': '1310 Fulton Ave', 'address2': 'Ste A', 'address3': '', 'city': 'Sacramento', 'zip_code': '95825', 'country': 'US', 'state': 'CA', 'display_address': ['1310 Fulton Ave', 'Ste A', 'Sacramento, CA 95825']}",+19164834444,(916) 483-4444,7701.7620855331525
OR_TDrRjH0pQ9TnBMSfGdQ,wing-squad-sacramento,Wing Squad,https://s3-media2.fl.yelpcdn.com/bphoto/wZbTyjFkXsv2wTt1eTem8g/o.jpg,False,https://www.yelp.com/biz/wing-squad-sacramento?adjust_creative=Kgca-8cgnb9EhD6PjYK-jA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Kgca-8cgnb9EhD6PjYK-jA,7,"[{'alias': 'fooddeliveryservices', 'title': 'Food Delivery Services'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",2.5,"{'latitude': 38.5816955566406, 'longitude': -121.40869140625}",['delivery'],,"{'address1': '', 'address2': None, 'address3': None, 'city': 'Sacramento', 'zip_code': '95825', 'country': 'US', 'state': 'CA', 'display_address': ['Sacramento, CA 95825']}",+18887996601,(888) 799-6601,8245.332713560496
qNIWooYzLlDI-_D-Ao8MXA,ericas-cafe-citrus-heights,Erica's Cafe,https://s3-media2.fl.yelpcdn.com/bphoto/w_mbA6iyNLk7Zab8yAtqeA/o.jpg,False,https://www.yelp.com/biz/ericas-cafe-citrus-heights?adjust_creative=Kgca-8cgnb9EhD6PjYK-jA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Kgca-8cgnb9EhD6PjYK-jA,130,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",3.5,"{'latitude': 38.6786699, 'longitude': -121.29062}",['delivery'],$,"{'address1': '7451 Greenback Ln', 'address2': '', 'address3': '', 'city': 'Citrus Heights', 'zip_code': '95610', 'country': 'US', 'state': 'CA', 'display_address': ['7451 Greenback Ln', 'Citrus Heights, CA 95610']}",+19167287285,(916) 728-7285,6305.6640776008735
XpHg83t50qDdEs_5gGIySA,i-love-teriyaki-and-sushi-sacramento,I Love Teriyaki and Sushi,https://s3-media3.fl.yelpcdn.com/bphoto/2kiV2x_-OPVApL9sfuvB8g/o.jpg,False,https://www.yelp.com/biz/i-love-teriyaki-and-sushi-sacramento?adjust_creative=Kgca-8cgnb9EhD6PjYK-jA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Kgca-8cgnb9EhD6PjYK-jA,110,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",3.5,"{'latitude': 38.52675, 'longitude': -121.4085748}",['delivery'],$,"{'address1': '5301 Power Inn Rd', 'address2': 'Ste 190', 'address3': '', 'city': 'Sacramento', 'zip_code': '95820', 'country': 'US', 'state': 'CA', 'display_address': ['5301 Power Inn Rd', 'Ste 190', 'Sacramento, CA 95820']}",+19163831866,(916) 383-1866,13450.344363099683
TSw-CqZYi7tTVAMcfv9Yyw,classic-burgers-sacramento-2,Classic Burgers,,False,https://www.yelp.com/biz/classic-burgers-sacramento-2?adjust_creative=Kgca-8cgnb9EhD6PjYK-jA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Kgca-8cgnb9EhD6PjYK-jA,1,"[{'alias': 'restaurants', 'title': 'Restaurants'}]",1.0,"{'latitude': 38.6098899841309, 'longitude': -121.400833129883}",[],,"{'address1': '2440 Fulton Ave', 'address2': '', 'address3': '', 'city': 'Sacramento', 'zip_code': '95825', 'country': 'US', 'state': 'CA', 'display_address': ['2440 Fulton Ave', 'Sacramento, CA 95825']}",+19164883565,(916) 488-3565,6550.947974680008
IcrEuuQCuHYL0AlMqCCuQQ,arts-craft-beer-palace-roseville,Art's Craft Beer Palace,https://s3-media4.fl.yelpcdn.com/bphoto/68qg9uBVEuALqibeK06uCA/o.jpg,False,https://www.yelp.com/biz/arts-craft-beer-palace-roseville?adjust_creative=Kgca-8cgnb9EhD6PjYK-jA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Kgca-8cgnb9EhD6PjYK-jA,19,"[{'alias': 'hotdog', 'title': 'Hot Dogs'}, {'alias': 'beerbar', 'title': 'Beer Bar'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",3.0,"{'latitude': 38.74502, 'longitude': -121.30828}","['pickup', 'delivery']",$$,"{'address1': '3031 Foothills Blvd', 'address2': 'Ste 105', 'address3': '', 'city': 'Roseville', 'zip_code': '95747', 'country': 'US', 'state': 'CA', 'display_address': ['3031 Foothills Blvd', 'Ste 105', 'Roseville, CA 95747']}",+19162977305,(916) 297-7305,12842.371980368773
