id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
kGdMHpFw9Bp3VZCbkEIZ4A,las-palmas-bakery-and-pupusas-sacramento-2,Las Palmas Bakery & Pupusas,https://s3-media2.fl.yelpcdn.com/bphoto/ryNPykh6CZgOEHvQaIoQ0Q/o.jpg,False,https://www.yelp.com/biz/las-palmas-bakery-and-pupusas-sacramento-2?adjust_creative=Si8YWGpNizrfNkdNNtLp2g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Si8YWGpNizrfNkdNNtLp2g,33,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'salvadoran', 'title': 'Salvadoran'}]",4.0,"{'latitude': 38.4740351, 'longitude': -121.4290023}",['delivery'],$,"{'address1': '6290 Mack Rd', 'address2': '', 'address3': '', 'city': 'Sacramento', 'zip_code': '95823', 'country': 'US', 'state': 'CA', 'display_address': ['6290 Mack Rd', 'Sacramento, CA 95823']}",+19163955979,(916) 395-5979,10692.628278404776
_P_ipzHtinw7iKUONINNxw,don-quixotes-mexican-grill-sacramento,Don Quixote's Mexican Grill,https://s3-media4.fl.yelpcdn.com/bphoto/rHDt8msT-pGYuqKq_BA3aw/o.jpg,False,https://www.yelp.com/biz/don-quixotes-mexican-grill-sacramento?adjust_creative=Si8YWGpNizrfNkdNNtLp2g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Si8YWGpNizrfNkdNNtLp2g,215,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.0,"{'latitude': 38.61365, 'longitude': -121.38215}",['delivery'],$,"{'address1': '2648 Watt Ave', 'address2': 'Ste 115', 'address3': '', 'city': 'Sacramento', 'zip_code': '95821', 'country': 'US', 'state': 'CA', 'display_address': ['2648 Watt Ave', 'Ste 115', 'Sacramento, CA 95821']}",+19164813000,(916) 481-3000,7559.3205907604715
ISBq11rteW5LqWIYHRcTzA,in-n-out-burger-west-sacramento,In-N-Out Burger,https://s3-media4.fl.yelpcdn.com/bphoto/MrTVNIYj9m3rXkTDPGGwfQ/o.jpg,False,https://www.yelp.com/biz/in-n-out-burger-west-sacramento?adjust_creative=Si8YWGpNizrfNkdNNtLp2g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Si8YWGpNizrfNkdNNtLp2g,192,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]",4.5,"{'latitude': 38.591567, 'longitude': -121.550118}",[],$,"{'address1': '780 Ikea Ct', 'address2': '', 'address3': '', 'city': 'West Sacramento', 'zip_code': '95605', 'country': 'US', 'state': 'CA', 'display_address': ['780 Ikea Ct', 'West Sacramento, CA 95605']}",+18007861000,(800) 786-1000,9367.537753320448
MSIh4W1wg4ewn4ETJIea1Q,sourdough-and-co-sacramento-28,Sourdough & Co,https://s3-media2.fl.yelpcdn.com/bphoto/XXKQaLVJlXm_Z1-VGdc7kg/o.jpg,False,https://www.yelp.com/biz/sourdough-and-co-sacramento-28?adjust_creative=Si8YWGpNizrfNkdNNtLp2g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Si8YWGpNizrfNkdNNtLp2g,32,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'soup', 'title': 'Soup'}]",4.0,"{'latitude': 38.4641265, 'longitude': -121.4914789}",['delivery'],,"{'address1': '8166 Delta Shores Cir', 'address2': 'Ste 110', 'address3': '', 'city': 'Sacramento', 'zip_code': '95832', 'country': 'US', 'state': 'CA', 'display_address': ['8166 Delta Shores Cir', 'Ste 110', 'Sacramento, CA 95832']}",+19166299336,(916) 629-9336,12314.891667887736
ev_19RokJ21B8DjcJZmgDw,chada-thai-cuisine-sacramento,Chada Thai Cuisine,https://s3-media3.fl.yelpcdn.com/bphoto/VWrCSxyKjglg-W77n1fq5g/o.jpg,False,https://www.yelp.com/biz/chada-thai-cuisine-sacramento?adjust_creative=Si8YWGpNizrfNkdNNtLp2g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Si8YWGpNizrfNkdNNtLp2g,380,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'vegan', 'title': 'Vegan'}]",4.0,"{'latitude': 38.5611725, 'longitude': -121.4912949}","['pickup', 'delivery']",$$,"{'address1': '1624 Broadway', 'address2': '', 'address3': '', 'city': 'Sacramento', 'zip_code': '95818', 'country': 'US', 'state': 'CA', 'display_address': ['1624 Broadway', 'Sacramento, CA 95818']}",+19164448909,(916) 444-8909,3979.3154259782036
ZSt7dM_v6k9FNQeMYOM_aA,tacos-jessica-2-sacramento,Tacos Jessica #2,https://s3-media1.fl.yelpcdn.com/bphoto/oM1QT7aGXJx9pDasE2lbMQ/o.jpg,False,https://www.yelp.com/biz/tacos-jessica-2-sacramento?adjust_creative=Si8YWGpNizrfNkdNNtLp2g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Si8YWGpNizrfNkdNNtLp2g,17,"[{'alias': 'streetvendors', 'title': 'Street Vendors'}, {'alias': 'mexican', 'title': 'Mexican'}]",4.5,"{'latitude': 38.5051452251069, 'longitude': -121.464397832751}",[],,"{'address1': '6728 Franklin Blvd', 'address2': '', 'address3': None, 'city': 'Sacramento', 'zip_code': '95823', 'country': 'US', 'state': 'CA', 'display_address': ['6728 Franklin Blvd', 'Sacramento, CA 95823']}",+19163208590,(916) 320-8590,7159.885389572167
zmxPZYWqLpD9aOQFqdkkkQ,green-jade-restaurant-carmichael-2,Green Jade Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/Txa0-H1g_6KygUb-FY78SA/o.jpg,False,https://www.yelp.com/biz/green-jade-restaurant-carmichael-2?adjust_creative=Si8YWGpNizrfNkdNNtLp2g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Si8YWGpNizrfNkdNNtLp2g,211,"[{'alias': 'cantonese', 'title': 'Cantonese'}]",4.0,"{'latitude': 38.6092694, 'longitude': -121.3551051}",['delivery'],$,"{'address1': '2436 Mission Ave', 'address2': '', 'address3': None, 'city': 'Carmichael', 'zip_code': '95608', 'country': 'US', 'state': 'CA', 'display_address': ['2436 Mission Ave', 'Carmichael, CA 95608']}",+19164818780,(916) 481-8780,9246.703098658516
JjBzfVcA-EhVOs3xy1qQ0A,connies-drive-in-sacramento,Connie's Drive-In,https://s3-media2.fl.yelpcdn.com/bphoto/-imXE1QG0X-Hx6SC-fIVEg/o.jpg,False,https://www.yelp.com/biz/connies-drive-in-sacramento?adjust_creative=Si8YWGpNizrfNkdNNtLp2g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Si8YWGpNizrfNkdNNtLp2g,52,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}]",3.5,"{'latitude': 38.64047, 'longitude': -121.42876}",[],$,"{'address1': '4010 Marysville Blvd', 'address2': '', 'address3': '', 'city': 'Sacramento', 'zip_code': '95838', 'country': 'US', 'state': 'CA', 'display_address': ['4010 Marysville Blvd', 'Sacramento, CA 95838']}",+19169226482,(916) 922-6482,8221.743019102298
hsw6xMIcNiqGkCUH4TAqSQ,lemon-grass-restaurant-sacramento,Lemon Grass Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/RnPupRwVRWGbNAw2MOhqoQ/o.jpg,False,https://www.yelp.com/biz/lemon-grass-restaurant-sacramento?adjust_creative=Si8YWGpNizrfNkdNNtLp2g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Si8YWGpNizrfNkdNNtLp2g,187,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'thai', 'title': 'Thai'}]",3.5,"{'latitude': 38.57618, 'longitude': -121.40205}",['delivery'],$$,"{'address1': '601 Munroe St', 'address2': '', 'address3': '', 'city': 'Sacramento', 'zip_code': '95825', 'country': 'US', 'state': 'CA', 'display_address': ['601 Munroe St', 'Sacramento, CA 95825']}",+19164864891,(916) 486-4891,3983.8289659393004
RgG3rcyYvpAzuGk4J_s1FA,harrys-cafe-sacramento,Harry's Cafe,https://s3-media2.fl.yelpcdn.com/bphoto/DSHrI31QeuDlgewlPNPrQw/o.jpg,False,https://www.yelp.com/biz/harrys-cafe-sacramento?adjust_creative=Si8YWGpNizrfNkdNNtLp2g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Si8YWGpNizrfNkdNNtLp2g,694,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'vietnamese', 'title': 'Vietnamese'}]",4.0,"{'latitude': 38.56639, 'longitude': -121.4906}",['delivery'],$,"{'address1': '2026 16th St', 'address2': None, 'address3': '', 'city': 'Sacramento', 'zip_code': '95818', 'country': 'US', 'state': 'CA', 'display_address': ['2026 16th St', 'Sacramento, CA 95818']}",+19164480088,(916) 448-0088,3829.321693610585
O8Ysf7RBpIX_uECkuaMWwQ,good-friends-restaurant-sacramento,Good Friends Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/mz1jUb5J8sRrTLrv-0Yz0w/o.jpg,False,https://www.yelp.com/biz/good-friends-restaurant-sacramento?adjust_creative=Si8YWGpNizrfNkdNNtLp2g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Si8YWGpNizrfNkdNNtLp2g,544,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",4.0,"{'latitude': 38.613, 'longitude': -121.51648}","['pickup', 'delivery']",$$,"{'address1': '2600 Gateway Oaks Dr', 'address2': None, 'address3': '', 'city': 'Sacramento', 'zip_code': '95833', 'country': 'US', 'state': 'CA', 'display_address': ['2600 Gateway Oaks Dr', 'Sacramento, CA 95833']}",+19165685100,(916) 568-5100,7876.817836694668
mJggmcKxezjQbI-hsmwL8Q,asian-pearl-restaurant-sacramento-5,Asian Pearl Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/ED5kRdFSI3TtuLMVtpmXxg/o.jpg,False,https://www.yelp.com/biz/asian-pearl-restaurant-sacramento-5?adjust_creative=Si8YWGpNizrfNkdNNtLp2g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Si8YWGpNizrfNkdNNtLp2g,669,"[{'alias': 'dimsum', 'title': 'Dim Sum'}, {'alias': 'cantonese', 'title': 'Cantonese'}]",3.0,"{'latitude': 38.5027745195163, 'longitude': -121.430778978496}","['pickup', 'delivery']",$$,"{'address1': '6821 Stockton Blvd', 'address2': 'Ste 165', 'address3': '', 'city': 'Sacramento', 'zip_code': '95823', 'country': 'US', 'state': 'CA', 'display_address': ['6821 Stockton Blvd', 'Ste 165', 'Sacramento, CA 95823']}",+19163918881,(916) 391-8881,7385.1891285033225
