id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
E8zplPWqb_zaAgsF1bbs6A,kabab-n-tikka-citrus-heights,Kabab N Tikka,https://s3-media4.fl.yelpcdn.com/bphoto/Pz6lDTwf5MDaC-VNf_j_AA/o.jpg,False,https://www.yelp.com/biz/kabab-n-tikka-citrus-heights?adjust_creative=Si8YWGpNizrfNkdNNtLp2g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Si8YWGpNizrfNkdNNtLp2g,162,"[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'pakistani', 'title': 'Pakistani'}]",4.0,"{'latitude': 38.6780551, 'longitude': -121.284}","['delivery', 'pickup']",$$,"{'address1': '7622 Greenback Ln', 'address2': '', 'address3': '', 'city': 'Citrus Heights', 'zip_code': '95610', 'country': 'US', 'state': 'CA', 'display_address': ['7622 Greenback Ln', 'Citrus Heights, CA 95610']}",+19162655253,(916) 265-5253,11910.980613890151
OHkgm3TK4TgOmqS24mepcw,family-pizza-take-and-bake-north-highlands,Family Pizza Take and Bake,https://s3-media2.fl.yelpcdn.com/bphoto/uJkSrUZklgxW75FOBqXMFQ/o.jpg,False,https://www.yelp.com/biz/family-pizza-take-and-bake-north-highlands?adjust_creative=Si8YWGpNizrfNkdNNtLp2g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Si8YWGpNizrfNkdNNtLp2g,15,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'bbq', 'title': 'Barbeque'}]",4.5,"{'latitude': 38.6742641289727, 'longitude': -121.383319}",[],,"{'address1': '5901 Watt Ave', 'address2': '', 'address3': None, 'city': 'North Highlands', 'zip_code': '95660', 'country': 'US', 'state': 'CA', 'display_address': ['5901 Watt Ave', 'North Highlands, CA 95660']}",+19163333397,(916) 333-3397,7818.78961721688
I_NA0I4aJonqjPAnjBdtQg,sun-and-soil-juice-company-sacramento-2,Sun & Soil Juice Company,https://s3-media4.fl.yelpcdn.com/bphoto/eXCghSqig_td5kdNblwCGQ/o.jpg,False,https://www.yelp.com/biz/sun-and-soil-juice-company-sacramento-2?adjust_creative=Si8YWGpNizrfNkdNNtLp2g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Si8YWGpNizrfNkdNNtLp2g,256,"[{'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'organic_stores', 'title': 'Organic Stores'}, {'alias': 'vegan', 'title': 'Vegan'}]",4.5,"{'latitude': 38.5700866, 'longitude': -121.4836389}",['delivery'],$$,"{'address1': '1912 P St', 'address2': '', 'address3': '', 'city': 'Sacramento', 'zip_code': '95811', 'country': 'US', 'state': 'CA', 'display_address': ['1912 P St', 'Sacramento, CA 95811']}",+19163410327,(916) 341-0327,9512.544441540686
mLzulfcc7jh520uun1K0XQ,main-event-bar-and-grill-carmichael-2,Main Event Bar & Grill,https://s3-media3.fl.yelpcdn.com/bphoto/z7NtLeKH2EQ5FQPf8CMSng/o.jpg,False,https://www.yelp.com/biz/main-event-bar-and-grill-carmichael-2?adjust_creative=Si8YWGpNizrfNkdNNtLp2g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Si8YWGpNizrfNkdNNtLp2g,9,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",3.5,"{'latitude': 38.61066, 'longitude': -121.30916}",[],,"{'address1': '6700 Tarshes Drive', 'address2': '', 'address3': '', 'city': 'Carmichael', 'zip_code': '95608', 'country': 'US', 'state': 'CA', 'display_address': ['6700 Tarshes Drive', 'Carmichael, CA 95608']}",+19164811701,(916) 481-1701,6525.647979495745
y4Z2QPYpYIzqy3T4Hws_YQ,new-york-bagel-and-cafe-rancho-cordova,New York Bagel & Cafe,https://s3-media1.fl.yelpcdn.com/bphoto/m5t9kACe0sdb4Qqifw5aIA/o.jpg,False,https://www.yelp.com/biz/new-york-bagel-and-cafe-rancho-cordova?adjust_creative=Si8YWGpNizrfNkdNNtLp2g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Si8YWGpNizrfNkdNNtLp2g,226,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'bagels', 'title': 'Bagels'}]",4.0,"{'latitude': 38.5962748610006, 'longitude': -121.281181276261}","['delivery', 'pickup']",$,"{'address1': '10929 Olson Dr', 'address2': '', 'address3': '', 'city': 'Rancho Cordova', 'zip_code': '95670', 'country': 'US', 'state': 'CA', 'display_address': ['10929 Olson Dr', 'Rancho Cordova, CA 95670']}",+19166319509,(916) 631-9509,8709.871963754467
kfaCSqoeutcotm4pvlJang,taqueria-santos-laguna-sacramento,Taqueria Santos Laguna,https://s3-media2.fl.yelpcdn.com/bphoto/R-zO-YcZYnVIDSpUW99p9A/o.jpg,False,https://www.yelp.com/biz/taqueria-santos-laguna-sacramento?adjust_creative=Si8YWGpNizrfNkdNNtLp2g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Si8YWGpNizrfNkdNNtLp2g,149,"[{'alias': 'mexican', 'title': 'Mexican'}]",3.0,"{'latitude': 38.5536897, 'longitude': -121.4253258}",['delivery'],$,"{'address1': '6727 Folsom Blvd', 'address2': None, 'address3': '', 'city': 'Sacramento', 'zip_code': '95819', 'country': 'US', 'state': 'CA', 'display_address': ['6727 Folsom Blvd', 'Sacramento, CA 95819']}",+19164521500,(916) 452-1500,6666.9644833471975
3NNx8O5vfoWNNEOKyvQSxw,pho-sacto-sacramento-2,Pho Sacto,https://s3-media3.fl.yelpcdn.com/bphoto/jRpNeY9EJn76lKYU9cgD8g/o.jpg,False,https://www.yelp.com/biz/pho-sacto-sacramento-2?adjust_creative=Si8YWGpNizrfNkdNNtLp2g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Si8YWGpNizrfNkdNNtLp2g,96,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'soup', 'title': 'Soup'}]",4.0,"{'latitude': 38.5092234, 'longitude': -121.4354633}",['delivery'],$,"{'address1': '6434 Stockton Blvd', 'address2': '', 'address3': None, 'city': 'Sacramento', 'zip_code': '95823', 'country': 'US', 'state': 'CA', 'display_address': ['6434 Stockton Blvd', 'Sacramento, CA 95823']}",+19163464088,(916) 346-4088,11467.53456962066
-dSvkyLFO6t2LZhoyGhE-w,osaka-sushi-sacramento-2,Osaka Sushi,https://s3-media3.fl.yelpcdn.com/bphoto/BiAXUJ8MK4H618kKjaDFig/o.jpg,False,https://www.yelp.com/biz/osaka-sushi-sacramento-2?adjust_creative=Si8YWGpNizrfNkdNNtLp2g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Si8YWGpNizrfNkdNNtLp2g,438,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'ramen', 'title': 'Ramen'}]",4.0,"{'latitude': 38.5783716, 'longitude': -121.4911134}","['delivery', 'pickup']",$$,"{'address1': '1200 K St', 'address2': 'Ste 7', 'address3': '', 'city': 'Sacramento', 'zip_code': '95814', 'country': 'US', 'state': 'CA', 'display_address': ['1200 K St', 'Ste 7', 'Sacramento, CA 95814']}",+19164400178,(916) 440-0178,9806.225646616002
Ym-u-zwg5l8x8Hzu7Yn44g,the-golden-bear-sacramento,The Golden Bear,https://s3-media3.fl.yelpcdn.com/bphoto/iWU9CREm2poN8LAf9L2fmA/o.jpg,False,https://www.yelp.com/biz/the-golden-bear-sacramento?adjust_creative=Si8YWGpNizrfNkdNNtLp2g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Si8YWGpNizrfNkdNNtLp2g,669,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.0,"{'latitude': 38.574102824301, 'longitude': -121.47544934506}",['delivery'],$$,"{'address1': '2326 K St', 'address2': '', 'address3': '', 'city': 'Sacramento', 'zip_code': '95816', 'country': 'US', 'state': 'CA', 'display_address': ['2326 K St', 'Sacramento, CA 95816']}",+19164412242,(916) 441-2242,8682.845433268416
zewXNl3f4VOmk-YdUWCsOA,happy-inn-sacramento,Happy Inn,https://s3-media4.fl.yelpcdn.com/bphoto/9bOyHtJVC7EhoFL7i3f1Lg/o.jpg,False,https://www.yelp.com/biz/happy-inn-sacramento?adjust_creative=Si8YWGpNizrfNkdNNtLp2g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Si8YWGpNizrfNkdNNtLp2g,85,"[{'alias': 'chinese', 'title': 'Chinese'}]",4.0,"{'latitude': 38.5472754, 'longitude': -121.3591897}",['delivery'],$$,"{'address1': '9170 Kiefer Blvd', 'address2': '', 'address3': '', 'city': 'Sacramento', 'zip_code': '95826', 'country': 'US', 'state': 'CA', 'display_address': ['9170 Kiefer Blvd', 'Sacramento, CA 95826']}",+19163680688,(916) 368-0688,6636.551409341884
